reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
17ea7fe4-2be8-4a99-91db-fe6b41c03194,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya gak suka sama kebijakan shopee sekarang semua pengiriman dimasukan ke spx kalau mau mengubah dikenakan biaya yg begitu mahal asli kecewa sama update terbaru nya sekarang hampir 3th setia belanja dishope nyaman nyaman aja sekarang gak nyaman sama expedisi yg di rekomen mana kemaren paket saya hilang pake spx sudah lah hilang lama banget barang datangnya!!!! lebih suka pake J&T sudah terpecaya menurut saya pribadi yg suka mengunakan jasa J&T ketimbang lainnya.,1,23,3.32.20,2024-08-21 15:28:34,"Hi kak, mf udh bkin ga nyman🙏. trkait ubah jasa kirim, buyer bs milih jasa krim yg dipgnin(trgntung jasa krim yg diaktifin Penjual)  hnya sblm buyer klik buat psanan dg cr:pilih Opsi pngiriman di hlmnCheckout>pilih Rekomend Shopee/jasa kirim spesifik lainnya yg diaktifkan Penjual>pilih Konfirm. kl ad kndala lain bs DM @Shopee_id, Sehat selalu🙏^GT",2024-08-21 16:58:44,3.32.20
2ee535ce-a832-4cdc-bc56-4a2ff7d30db0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pelayanan penjualnya rerata ramah dan baik, tapi, yang BURUK ekspedisi pengirimannya. Benar bisa diubah sebelum check out barang, itupun kalau kita sebagai pembeli paham/ingat mengubah pengirimannya, di samping itu ongkirnya bisa jadi lebih MAHAL daripada barang yang mau dibeli. Min, jujur saya jauh lebih SUKA aplikasi yang versi lama, yang semahal-mahalnya ongkir masih di batas WAJAR. Kalau yang sekarang apalagi berdasarkan rek apk HARUS banget ya? pakai ekspedisi yang KUALITASnya kureng gitu?",3,112,3.32.20,2024-08-21 01:28:13,"Hi kak, terima kasih ya untuk feedbacknya. Kedepan shopee akan terus berusaha lebih baik lagi agar para pengguna lebih nyaman dalam menggunakan Shopee. Have a nice day ^WB",2024-08-21 02:28:53,3.32.20
931fc49e-cd81-484e-a296-3ebc49acb1ca,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus..cuma agak berat..kalo pas buka produk dan mau kembali ke menu sebelumya, tombol kembali responya agak lama dan masalah ekspedisi SPX saya sangat puas..karena kalo ke tempat saya termasuk yang tercepat dari pada lainya..good job",3,7,3.32.20,2024-08-22 06:09:59,"Hi kak, maaf atas kendala aplikasinya. Mimin saranin kakak bisa melakukan Clear Cache dan coba berkala selama 1x24 jam terlebih dahulu ya. Pastiin aplikasi Shopee terupdate dan mencoba logout-login kembali. Klo masih terkendala, boleh bgt infoin username, screenshot kendala dan detailnya ke DM @Shopee_id / @Shopeecare ya. Sehat selalu 🙏 ^MS",2024-08-22 07:45:57,3.32.20
7c2776a7-a710-43aa-b329-fcd83124ecc7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tidak ada pilihan lagi untuk memilih ekspedisi, dan shophee pasti mengarahkan ke spx, spx ada ekspedisi paling jelek, khususnya ke arah indonesia timur, sdh 2 Minggu barang belum sampai, ekspedisi lain 2-3hr sudah diterima, tlg spx itu dihilangkan saja, apalagi penjual wajib mengaktifkan spx dan tidak bisa dimatikan",3,49,3.32.20,2024-08-20 07:16:42,"Hai kak, maaf ya udah buat km ngga nyaman mengenai tidak bisa mengubah jasa kirim. Mimin bantu infoin, Mulai per agustus untuk memilih jasa kirim spesifik dapat kakak gunakan pada halaman sebelum Checkout ya kak . Jika kamu ada kendala terkait shopee, bisa infoin detail kendala ke DM Social Medi kita @Shopee_id / @Shopeecare ya.ditunggu🙏^HS",2024-08-20 08:26:59,3.32.20
425dba70-2048-4d14-ba9d-6b8e97005e13,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makin kesini makin kesana Knapa setiap kali mau chekout tiap klik gambar eh selalu disuruh ferivikasi,bagaimana caranya mau verifikasi klw selalu bug loading, sedangkan jaringan bagus,ku alihkan ke wi-fi sama aja tetap bug/loading,aplikasi sdh di update, di instal ulang akun sdh di restart ulang tetap aja kek gitu bingung mau kek gimana lagi",3,3,3.32.20,2024-08-22 02:35:18,"Hai kak maaf ya atas kendalanya, trkait ingin checkout verifikasi, hal tsb utk membantu mencegah aktivitas tdk sah yang terdeteksi di akun km, selengkapnya bs cek link > https://help.shopee.co.id/portal/4/article/129077, Untuk bug loading kakak bisa Clear Cache 1x24jam Untuk dibantu bisa infoin kendala melalui DM ke @ShopeeID @ShopeeCare.🙏 ^ES",2024-08-22 03:39:46,3.32.20
606c6896-19ae-4ef0-b71e-9460d306d33e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Shopee makin kesini makin ribet,bukan malah bikin nyaman,sekarang shopee yg memegang kendali dan mengatur jasa kirim,buyer sudah tidak bisa lg mengubahnya,bisa sih memilih,tp ttp diarahkan sama spx,yg drdlu g berubah,paket nympe nya mghrib atau malem,disaat org lain wktu rehat,coba dlu ah k aplikasi sebelah😁",1,45,3.32.20,2024-08-21 08:05:52,"Hi kak, maaf bkin km ga nyaman terkait pengaturan ubah jasa kirim.
Aku saranin km bs memilih jasa kirim yg diinginkan hanya sblm km klik ""Buat Pesanan"".
Perubahan jasa kirim stlh klik ""Buat Pesanan"" sdh tdk bs dilakukan lg ya skrg, kak. Jika kakak trdapat kendala terkait shopee dpt meluncur ke DM sosmed @shopee_id dan @shopeecare SehatSelalu ^WB",2024-08-21 05:19:23,3.32.20
556ee894-6bd8-4b89-8c57-758efea776a7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Upgrade aneh Vocer ny cuman buat expedisi terpilih shopee aja. Masa gak bisa di pilih. Banyak gak cuma saya yg punya kendala dan masalah dalam pengiriman di expedisi tersebut, sampai paket di retur otomatis karena kesalahan expedisi yang terlambat. Bisa pilih expedisi cuman kemahalan ongkir ny karena vocer tidak di dukung untuk expedisi tersebut 😡 Balikin kaya dulu lah min",1,17,3.32.20,2024-08-22 05:30:20,"Hai kak, mohon maaf atas ketidaknyamanannya terkait kendala km. Agar mimin bisa bantu cek aku saranin kakak untuk infoin detail kendala kakak ke DM Social Media kita @Shopee_id / @Shopeecare ya, Sehat selalu🙏^RU",2024-08-22 06:28:51,3.32.20
39951981-b824-4e47-9757-b27b7979500d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kecewaaa.. kasih bintang 1. Setelah update malah Gak bisa ubah di pilihan expedisi, jadi suka-suka pihak aplikasi mau dikirim apa tanpa tahu apakah expedisi tersebut sering bermasalah atau tidak. Jika bisa diubah itupun tidak berlaku voucher ongkir nya. Intinya suka-suka pihak aplikasi pilih rekomendasi expedisi apa. Kasian yang beli makin repot seperti aku nih..",1,75,3.32.19,2024-08-20 00:38:22,"Hai kak, maaf ya bikin ngga nyaman terkait voucher ongkir. Voucher Gratis Ongkir XTRA hanya tersedia apabila Penjual tergabung dalam program Gratis Ongkir XTRA dan Pembeli memilih jasa kirim Rekomendasi Shopee ya kak. Klo ada kendala mohon hubungi mimin lewat DM Social Media @Shopee_id /@Shopeecare_id ya kak 🙏^ED",2024-08-20 01:23:04,3.32.19
b7032e3e-2b3f-4e8e-b9f2-2dd14c88fd5a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tolong shopee kembalikan pilihan ubah ekspedisi setelah pembayaran. Karena untuk pengiriman SPX di Daerah saya super lama sekali. Bisa sampai 3 minggu. Bahkan paket saya pernah hilang beberapa kali karna ekspedisi SPX ini. Semoga bisa kembali ke Fitur lama. Saya sangat merasa dirugikan dgn ekspedisi SPX,2,21,3.32.19,2024-08-19 23:06:20,"Hi kak. Maaf bikin risau terkait jasa kirim. Pembeli hanya bsa merubah jasa kirim saat sebelum chekout. Dgn cara Pilih Opsi Pengiriman di hlmn Checkout>Pilih Jasa kirim rekomendasi Shopee/jasa kirim spesifik yg diaktifkan Penjual>Pilih Konfirmasi. Jika ada pertanyaan lain, bsa hubungi lewat DM sosial media @Shopee_id/@Shopeecare. Sehat selalu🙏 ^LT",2024-08-20 00:36:19,3.32.19
ac31530d-fe9f-456d-92a0-7c8feace0ec6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Iklannya ganggu bet, hampir disetiap aplikasi selalu ada, dan bukan masalah iklannya tpi ada bug dimana iklannya ga bisa ilang. Layar hitam terus dan gaada tombol ""×"" yang ada malah tampilan loading terus",1,23,3.31.18,2024-08-21 08:26:12,,,3.31.18
